epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,150.228,4.0669,2.14914,0.91684,0.28234,0.28745,0.19298,0.05391,3.18293,1.5538,0.89932,0.00134657,0.00134657,0.00134657
44,153.63,2.84886,1.45846,0.89411,0.28234,0.28745,0.19298,0.05391,3.18293,1.5538,0.89932,0.00136964,0.00136964,0.00136964
45,157.951,3.39439,1.73205,0.89953,0.28234,0.28745,0.19298,0.05391,3.18293,1.5538,0.89932,0.00139232,0.00139232,0.00139232
46,161.738,3.02929,1.67791,0.86883,0.28954,0.3039,0.19792,0.05427,3.20059,1.51737,0.89606,0.0014146,0.0014146,0.0014146
47,165.832,2.71019,1.69821,0.90582,0.28954,0.3039,0.19792,0.05427,3.20059,1.51737,0.89606,0.00143648,0.00143648,0.00143648
48,170.059,2.95028,1.56779,0.87771,0.28954,0.3039,0.19792,0.05427,3.20059,1.51737,0.89606,0.00145797,0.00145797,0.00145797
49,175.542,3.21433,1.68202,0.91766,0.28954,0.3039,0.19792,0.05427,3.20059,1.51737,0.89606,0.00147906,0.00147906,0.00147906
50,180.218,3.71044,1.83375,1.12973,0.26775,0.29172,0.18218,0.05186,3.2025,1.526,0.89757,0.00149975,0.00149975,0.00149975
51,184.257,2.93506,1.57442,0.91392,0.26775,0.29172,0.18218,0.05186,3.2025,1.526,0.89757,0.001505,0.001505,0.001505
52,188.507,2.69814,1.43429,0.87724,0.26775,0.29172,0.18218,0.05186,3.2025,1.526,0.89757,0.0014951,0.0014951,0.0014951
53,192.446,3.48377,1.85692,0.90721,0.26775,0.29172,0.18218,0.05186,3.2025,1.526,0.89757,0.0014852,0.0014852,0.0014852
54,195.864,3.02611,1.59492,0.94327,0.31551,0.28989,0.21106,0.05945,3.15643,1.56933,0.89466,0.0014753,0.0014753,0.0014753
55,201.413,2.88609,1.44188,0.90358,0.31551,0.28989,0.21106,0.05945,3.15643,1.56933,0.89466,0.0014654,0.0014654,0.0014654
56,206.876,4.10046,3.69196,0.79956,0.31551,0.28989,0.21106,0.05945,3.15643,1.56933,0.89466,0.0014555,0.0014555,0.0014555
57,212.515,3.08111,1.70668,0.92124,0.31551,0.28989,0.21106,0.05945,3.15643,1.56933,0.89466,0.0014456,0.0014456,0.0014456
58,217.568,2.91821,1.67143,0.91695,0.29487,0.30572,0.18899,0.056,3.11757,1.74935,0.90336,0.0014357,0.0014357,0.0014357
59,222.453,2.86769,1.45245,0.90411,0.29487,0.30572,0.18899,0.056,3.11757,1.74935,0.90336,0.0014258,0.0014258,0.0014258
60,226.603,4.14586,3.65998,0.96591,0.29487,0.30572,0.18899,0.056,3.11757,1.74935,0.90336,0.0014159,0.0014159,0.0014159
61,231.887,3.94195,2.24399,0.8654,0.29487,0.30572,0.18899,0.056,3.11757,1.74935,0.90336,0.001406,0.001406,0.001406
62,236.867,3.29427,1.73652,0.9299,0.15667,0.25761,0.12432,0.03736,3.16165,2.33728,0.9271,0.0013961,0.0013961,0.0013961
63,241.633,3.02141,1.81846,0.88894,0.15667,0.25761,0.12432,0.03736,3.16165,2.33728,0.9271,0.0013862,0.0013862,0.0013862
64,246.437,3.70267,1.94491,0.99789,0.15667,0.25761,0.12432,0.03736,3.16165,2.33728,0.9271,0.0013763,0.0013763,0.0013763
65,249.347,3.61838,2.12457,0.95904,0.15667,0.25761,0.12432,0.03736,3.16165,2.33728,0.9271,0.0013664,0.0013664,0.0013664
66,255.024,3.88023,2.00874,0.94777,0.16852,0.2771,0.1175,0.03622,3.1879,2.6938,0.94419,0.0013565,0.0013565,0.0013565
67,259.262,4.35991,2.74326,1.00369,0.16852,0.2771,0.1175,0.03622,3.1879,2.6938,0.94419,0.0013466,0.0013466,0.0013466
68,263.567,2.83368,1.37825,0.90914,0.16852,0.2771,0.1175,0.03622,3.1879,2.6938,0.94419,0.0013367,0.0013367,0.0013367
69,268.467,2.77736,1.65673,0.92006,0.16852,0.2771,0.1175,0.03622,3.1879,2.6938,0.94419,0.0013268,0.0013268,0.0013268
70,274.255,2.68698,1.44736,0.87991,0.1637,0.26918,0.11554,0.03424,3.19399,2.82356,0.95588,0.0013169,0.0013169,0.0013169
71,277.774,3.29723,1.70154,0.86706,0.1637,0.26918,0.11554,0.03424,3.19399,2.82356,0.95588,0.001307,0.001307,0.001307
72,281.026,2.8094,1.68565,0.94017,0.1637,0.26918,0.11554,0.03424,3.19399,2.82356,0.95588,0.0012971,0.0012971,0.0012971
73,284.459,2.698,1.40326,0.88574,0.1637,0.26918,0.11554,0.03424,3.19399,2.82356,0.95588,0.0012872,0.0012872,0.0012872
74,288.621,3.47113,1.81433,0.87006,0.13074,0.21498,0.08989,0.02617,3.41106,3.01643,0.99857,0.0012773,0.0012773,0.0012773
75,292.309,3.95112,2.00887,0.87601,0.13074,0.21498,0.08989,0.02617,3.41106,3.01643,0.99857,0.0012674,0.0012674,0.0012674
76,297.517,4.4591,3.29551,0.99787,0.13074,0.21498,0.08989,0.02617,3.41106,3.01643,0.99857,0.0012575,0.0012575,0.0012575
77,301.762,2.63149,1.52149,0.87706,0.13074,0.21498,0.08989,0.02617,3.41106,3.01643,0.99857,0.0012476,0.0012476,0.0012476
78,305.701,3.022,1.55791,0.91369,0.13333,0.21924,0.08807,0.02918,3.24104,2.89285,0.97496,0.0012377,0.0012377,0.0012377
79,310.079,2.9667,1.60091,0.87292,0.13333,0.21924,0.08807,0.02918,3.24104,2.89285,0.97496,0.0012278,0.0012278,0.0012278
80,312.698,3.08996,1.60824,0.90858,0.13333,0.21924,0.08807,0.02918,3.24104,2.89285,0.97496,0.0012179,0.0012179,0.0012179
81,316.301,2.88921,1.54751,0.95414,0.13333,0.21924,0.08807,0.02918,3.24104,2.89285,0.97496,0.001208,0.001208,0.001208
82,319.377,3.18983,1.80328,0.97521,0.16741,0.27527,0.15604,0.04765,3.09303,2.29856,0.92203,0.0011981,0.0011981,0.0011981
83,323.485,2.69452,1.37864,0.88958,0.16741,0.27527,0.15604,0.04765,3.09303,2.29856,0.92203,0.0011882,0.0011882,0.0011882
84,327.31,4.72233,8.23912,0.8658,0.16741,0.27527,0.15604,0.04765,3.09303,2.29856,0.92203,0.0011783,0.0011783,0.0011783
85,331.709,2.98793,1.50224,0.92363,0.16741,0.27527,0.15604,0.04765,3.09303,2.29856,0.92203,0.0011684,0.0011684,0.0011684
86,336.244,2.77749,1.44172,0.86461,0.21519,0.35384,0.22057,0.06803,2.98566,1.89687,0.90284,0.0011585,0.0011585,0.0011585
87,339.279,2.96073,1.63453,0.90176,0.21519,0.35384,0.22057,0.06803,2.98566,1.89687,0.90284,0.0011486,0.0011486,0.0011486
88,342.236,4.17101,2.31709,0.93106,0.21519,0.35384,0.22057,0.06803,2.98566,1.89687,0.90284,0.0011387,0.0011387,0.0011387
89,346.242,3.33744,2.00902,0.98664,0.21519,0.35384,0.22057,0.06803,2.98566,1.89687,0.90284,0.0011288,0.0011288,0.0011288
90,351.021,3.48585,1.69107,0.86858,0.34612,0.37393,0.28771,0.08801,2.8865,1.62935,0.88895,0.0011189,0.0011189,0.0011189
91,357.025,4.10071,2.13678,0.94172,0.34612,0.37393,0.28771,0.08801,2.8865,1.62935,0.88895,0.001109,0.001109,0.001109
92,360.561,2.85184,1.55694,0.86157,0.34612,0.37393,0.28771,0.08801,2.8865,1.62935,0.88895,0.0010991,0.0010991,0.0010991
93,365.367,3.64669,1.74075,1.04123,0.34612,0.37393,0.28771,0.08801,2.8865,1.62935,0.88895,0.0010892,0.0010892,0.0010892
94,369.764,2.67101,1.40558,0.87145,0.414,0.33983,0.30379,0.09578,2.81861,1.49666,0.88437,0.0010793,0.0010793,0.0010793
95,373.651,2.71705,1.45838,0.93716,0.414,0.33983,0.30379,0.09578,2.81861,1.49666,0.88437,0.0010694,0.0010694,0.0010694
96,377.48,4.71387,7.00671,0.97856,0.414,0.33983,0.30379,0.09578,2.81861,1.49666,0.88437,0.0010595,0.0010595,0.0010595
