epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5555,6.49172,6.79205,2.92978,0,0,0,0,6.45758,4.49407,3.47353,4e-05,4e-05,4e-05
2,21.144,6.40347,7.73033,2.32358,0,0,0,0,6.10299,4.19828,2.52472,9.9505e-05,9.9505e-05,9.9505e-05
3,29.6545,5.10177,23.2977,1.54811,0,0,0,0,5.32631,3.98787,1.66477,0.000158416,0.000158416,0.000158416
4,37.3644,5.6364,6.90721,1.54151,0,0,0,0,4.26027,3.78468,1.07694,0.000216733,0.000216733,0.000216733
5,46.2666,4.4151,3.65422,1.27601,0,0,0,0,4.66715,3.79484,1.0223,0.000274456,0.000274456,0.000274456
6,53.7798,4.74971,3.84146,1.09962,0,0,0,0,4.6153,3.85127,0.95316,0.000331585,0.000331585,0.000331585
7,61.6313,4.3156,3.20626,1.12076,0,0,0,0,4.81962,3.79857,0.95724,0.00038812,0.00038812,0.00038812
8,69.9538,4.28674,3.02048,0.99838,0,0,0,0,4.89154,3.62492,0.98095,0.000444061,0.000444061,0.000444061
9,77.8171,4.13649,2.74493,1.02301,0,0,0,0,4.52329,3.41807,0.97924,0.000499408,0.000499408,0.000499408
10,86.3798,4.06555,2.64732,0.98341,0.01561,0.0263,0.00836,0.00258,4.03279,3.19623,0.96628,0.000554161,0.000554161,0.000554161
11,95.7979,4.08978,2.5177,0.99199,0.04939,0.08323,0.02724,0.00777,3.85775,2.98254,0.95407,0.00060832,0.00060832,0.00060832
12,104.709,3.93879,2.38016,0.99031,0.04864,0.08195,0.02646,0.00786,3.92566,2.7851,0.95118,0.000661885,0.000661885,0.000661885
13,114.068,3.81746,2.25449,0.97833,0.05697,0.09599,0.03393,0.01004,3.79033,2.54657,0.94927,0.000714856,0.000714856,0.000714856
14,123.073,3.82575,2.41105,0.95356,0.07409,0.12484,0.04751,0.01373,3.62844,2.3462,0.95862,0.000767233,0.000767233,0.000767233
15,132.529,3.63514,2.17806,0.94336,0.07409,0.12484,0.04751,0.01373,3.62844,2.3462,0.95862,0.000819016,0.000819016,0.000819016
16,141.524,3.9401,2.7289,0.93218,0.08167,0.13761,0.05394,0.01553,3.53215,2.18952,0.95136,0.000870205,0.000870205,0.000870205
17,150.06,3.60707,2.22413,0.98005,0.08152,0.13735,0.05323,0.01533,3.50319,2.13301,0.9724,0.0009208,0.0009208,0.0009208
18,159.125,3.80237,2.51568,0.9368,0.08152,0.13735,0.05323,0.01533,3.50319,2.13301,0.9724,0.000970801,0.000970801,0.000970801
19,167.736,3.70735,2.38636,0.95386,0.08879,0.1496,0.05773,0.01632,3.46719,2.14953,0.95574,0.00102021,0.00102021,0.00102021
20,176.574,3.41703,2.25498,0.93808,0.09578,0.13582,0.0544,0.01732,3.45918,2.15619,0.9282,0.00106902,0.00106902,0.00106902
21,185.815,3.79747,2.4137,0.92342,0.09578,0.13582,0.0544,0.01732,3.45918,2.15619,0.9282,0.00111724,0.00111724,0.00111724
22,196.036,3.3004,2.10931,0.92618,0.09442,0.12101,0.05363,0.01754,3.45704,2.14739,0.92301,0.00116486,0.00116486,0.00116486
23,205.854,3.60235,2.25474,0.98742,0.09442,0.12101,0.05363,0.01754,3.45704,2.14739,0.92301,0.0012119,0.0012119,0.0012119
24,215.099,3.37249,2.13544,0.9112,0.10782,0.12152,0.05469,0.01749,3.44218,2.13883,0.93013,0.00125833,0.00125833,0.00125833
25,224.911,3.64792,2.35133,0.92011,0.10782,0.12152,0.05469,0.01749,3.44218,2.13883,0.93013,0.00130418,0.00130418,0.00130418
26,233.39,4.08677,3.40807,0.91573,0.108,0.12995,0.05962,0.01859,3.43178,2.06355,0.92373,0.00134943,0.00134943,0.00134943
27,242.333,3.17757,2.2158,0.89258,0.108,0.12995,0.05962,0.01859,3.43178,2.06355,0.92373,0.00139408,0.00139408,0.00139408
28,251.85,3.3152,2.00656,0.90448,0.09369,0.15497,0.06432,0.01911,3.43533,2.02224,0.90457,0.00143814,0.00143814,0.00143814
29,260.434,3.83972,2.63554,0.8922,0.09369,0.15497,0.06432,0.01911,3.43533,2.02224,0.90457,0.00148161,0.00148161,0.00148161
30,269.029,3.35822,2.17721,0.90635,0.09369,0.15497,0.06432,0.01911,3.43533,2.02224,0.90457,0.00152448,0.00152448,0.00152448
31,278.807,3.55665,2.0833,0.87117,0.08463,0.13965,0.05183,0.01757,3.44151,2.02871,0.89309,0.00156676,0.00156676,0.00156676
32,289.505,3.29594,1.97109,0.88087,0.08463,0.13965,0.05183,0.01757,3.44151,2.02871,0.89309,0.00160845,0.00160845,0.00160845
