epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.65053,5.28065,7.47753,2.39978,0,0,0,0,6.49793,5.1066,3.42633,6e-05,6e-05,6e-05
2,18.1758,6.18885,5.54674,2.36086,0,0,0,0,5.67829,4.37794,1.88619,0.000139307,0.000139307,0.000139307
3,26.3949,5.64988,16.0813,1.59942,0,0,0,0,4.45004,3.90918,1.05914,0.000217822,0.000217822,0.000217822
4,34.141,4.80429,4.59341,1.33565,0,0,0,0,4.69068,3.98419,0.93486,0.000295545,0.000295545,0.000295545
5,41.7739,4.43071,3.54505,1.07912,0,0,0,0,4.78703,4.13165,0.91606,0.000372476,0.000372476,0.000372476
6,50.203,4.84412,3.43912,1.01857,0,0,0,0,5.10966,4.48342,0.92564,0.000448615,0.000448615,0.000448615
7,58.4368,4.23133,3.11232,1.03851,0.00187,0.00354,0.00095,0.00011,5.5285,3.76659,1.01445,0.000523962,0.000523962,0.000523962
8,66.481,4.33056,2.69413,1.02384,0.01933,0.03663,0.01036,0.00268,4.86369,3.243,0.96992,0.000598517,0.000598517,0.000598517
9,74.7267,3.16291,5.60631,0.758,0.03187,0.06037,0.0172,0.00469,4.43887,3.0243,0.93583,0.00067228,0.00067228,0.00067228
10,82.9959,4.38751,3.31632,0.97324,0.02827,0.05355,0.0156,0.00405,4.33593,2.9337,0.92964,0.000745251,0.000745251,0.000745251
11,91.4671,4.51292,2.84838,0.96628,0.02453,0.04648,0.01336,0.00373,4.31469,2.82634,0.94086,0.00081743,0.00081743,0.00081743
12,99.6852,3.83886,2.40434,0.93458,0.03133,0.05936,0.01727,0.005,4.22922,2.6478,0.90994,0.000888817,0.000888817,0.000888817
13,109.158,4.27856,2.7255,1.01497,0.04813,0.09118,0.02883,0.00828,4.01072,2.46871,0.88647,0.000959412,0.000959412,0.000959412
14,119.38,4.25528,2.98477,0.88214,0.06013,0.11392,0.03596,0.01155,3.80758,2.3115,0.8888,0.00102922,0.00102922,0.00102922
15,129.9,3.68957,2.36023,0.93554,0.0756,0.14322,0.05164,0.01698,3.55624,2.24453,0.90584,0.00109823,0.00109823,0.00109823
16,140.866,4.41716,2.58769,0.94382,0.0756,0.14322,0.05164,0.01698,3.55624,2.24453,0.90584,0.00116645,0.00116645,0.00116645
17,151.37,4.05663,2.89208,0.97375,0.0788,0.14928,0.05304,0.01595,3.63477,2.29523,0.94296,0.00123387,0.00123387,0.00123387
18,161.425,3.53188,2.42995,0.93659,0.07787,0.14751,0.05257,0.01412,3.7101,2.28387,0.95194,0.00130051,0.00130051,0.00130051
19,172.695,3.04899,5.28491,0.70939,0.07787,0.14751,0.05257,0.01412,3.7101,2.28387,0.95194,0.00136635,0.00136635,0.00136635
20,185.002,3.37568,5.79469,0.73522,0.07907,0.14979,0.05183,0.01447,3.64006,2.25719,0.93367,0.0014314,0.0014314,0.0014314
21,194.804,2.56723,4.86427,0.74119,0.06907,0.13084,0.04413,0.01173,3.7185,2.34406,0.93536,0.00149566,0.00149566,0.00149566
22,205.034,4.36906,2.88104,0.96348,0.06907,0.13084,0.04413,0.01173,3.7185,2.34406,0.93536,0.00155913,0.00155913,0.00155913
23,215.162,2.82401,4.21846,0.68904,0.064,0.12124,0.04179,0.01171,3.74752,2.38972,0.90572,0.0016218,0.0016218,0.0016218
24,226.175,2.53802,4.04122,0.68707,0.064,0.12124,0.04179,0.01171,3.74752,2.38972,0.90572,0.00168368,0.00168368,0.00168368
25,235.794,3.98453,2.44095,0.92806,0.06307,0.11947,0.03862,0.01134,3.64884,2.40693,0.88734,0.00174478,0.00174478,0.00174478
26,246.656,4.24227,2.60606,0.87011,0.06307,0.11947,0.03862,0.01134,3.64884,2.40693,0.88734,0.0017525,0.0017525,0.0017525
27,255.252,3.95966,3.05458,0.9404,0.06867,0.13008,0.04204,0.01295,3.53041,2.44412,0.89139,0.0017426,0.0017426,0.0017426
28,263.965,4.08404,2.65914,0.90522,0.06867,0.13008,0.04204,0.01295,3.53041,2.44412,0.89139,0.0017327,0.0017327,0.0017327
29,272.962,3.90761,2.72269,0.89187,0.06587,0.12478,0.04023,0.01338,3.57015,2.33887,0.89702,0.0017228,0.0017228,0.0017228
30,281.7,3.5804,2.29154,0.91025,0.06587,0.12478,0.04023,0.01338,3.57015,2.33887,0.89702,0.0017129,0.0017129,0.0017129
31,290.6,3.90097,2.46462,0.90626,0.0656,0.12427,0.04073,0.01286,3.63923,2.27535,0.90325,0.001703,0.001703,0.001703
32,299.665,2.50697,5.73923,0.65918,0.0656,0.12427,0.04073,0.01286,3.63923,2.27535,0.90325,0.0016931,0.0016931,0.0016931
33,308.913,3.97494,2.49932,0.94143,0.0608,0.11518,0.03705,0.01031,3.86131,2.41481,0.90212,0.0016832,0.0016832,0.0016832
