epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.79751,6.70017,5.53875,3.62666,0,0,0,0,6.68136,4.12262,3.96119,0,0,0
2,8.52513,6.67327,5.5953,3.40044,0,0,0,0,6.66933,4.11378,3.86275,1.9901e-05,1.9901e-05,1.9901e-05
3,12.8911,6.56233,4.9962,3.01496,0,0,0,0,6.63473,4.07944,3.66678,3.9604e-05,3.9604e-05,3.9604e-05
4,16.1062,6.57688,5.92612,2.61714,0,0,0,0,6.57473,4.01628,3.39011,5.9109e-05,5.9109e-05,5.9109e-05
5,20.0721,6.52525,4.49189,2.83391,0,0,0,0,6.47852,3.96212,3.07311,7.8416e-05,7.8416e-05,7.8416e-05
6,23.6327,6.33626,4.38992,2.31077,0,0,0,0,6.33329,3.90831,2.68108,9.7525e-05,9.7525e-05,9.7525e-05
7,26.0192,5.92433,4.07596,2.14647,0,0,0,0,6.06828,3.84838,2.19704,0.000116436,0.000116436,0.000116436
8,28.1944,6.00941,4.49737,1.61134,0,0,0,0,5.50319,3.75734,1.62916,0.000135149,0.000135149,0.000135149
9,32.0366,5.21351,3.69287,1.56862,0,0,0,0,5.50319,3.75734,1.62916,0.000153664,0.000153664,0.000153664
10,35.1495,5.41563,4.07818,1.47424,0,0,0,0,4.52065,3.67625,1.18892,0.000171981,0.000171981,0.000171981
11,37.2797,4.71765,3.53904,1.32601,0,0,0,0,4.52065,3.67625,1.18892,0.0001901,0.0001901,0.0001901
12,40.0449,5.16599,3.65582,1.28723,0,0,0,0,4.02326,3.64468,1.0387,0.000208021,0.000208021,0.000208021
13,44.1118,4.36666,3.48762,1.20805,0,0,0,0,4.02326,3.64468,1.0387,0.000225744,0.000225744,0.000225744
14,46.3458,4.35189,3.37004,1.21917,0,0,0,0,4.8188,3.67835,1.03832,0.000243269,0.000243269,0.000243269
15,49.9773,4.2461,3.25282,1.16194,0,0,0,0,4.8188,3.67835,1.03832,0.000260596,0.000260596,0.000260596
16,52.7728,4.24595,3.27414,1.10921,0,0,0,0,5.31857,3.72748,1.06072,0.000277725,0.000277725,0.000277725
17,56.1178,3.97163,3.04952,1.1073,0,0,0,0,5.31857,3.72748,1.06072,0.000294656,0.000294656,0.000294656
18,59.9307,4.31467,3.08911,1.162,0,0,0,0,5.40055,3.64048,1.05929,0.000311389,0.000311389,0.000311389
19,62.1261,3.76008,2.86447,1.07691,0,0,0,0,5.40055,3.64048,1.05929,0.000327924,0.000327924,0.000327924
