epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.19465,6.69872,4.32837,3.32138,0,0,0,0,6.67692,3.83781,3.9515,0,0,0
2,7.12834,6.75871,6.57198,2.44458,0,0,0,0,6.66439,3.83841,3.87935,1.9901e-05,1.9901e-05,1.9901e-05
3,8.5297,6.56638,4.16284,3.08784,0,0,0,0,6.6285,3.82159,3.67557,3.9604e-05,3.9604e-05,3.9604e-05
4,11.2779,6.57109,4.2507,2.85821,0,0,0,0,6.56231,3.79622,3.38698,5.9109e-05,5.9109e-05,5.9109e-05
5,13.2783,6.43481,4.03229,2.63637,0,0,0,0,6.45543,3.77394,3.03629,7.8416e-05,7.8416e-05,7.8416e-05
6,14.4913,5.98057,3.86546,2.46802,0,0,0,0,6.29047,3.7386,2.59362,9.7525e-05,9.7525e-05,9.7525e-05
7,16.293,6.07125,4.00825,1.73549,0,0,0,0,5.99399,3.69979,2.08442,0.000116436,0.000116436,0.000116436
8,19.1684,5.7714,3.6839,1.63468,0,0,0,0,5.40821,3.65069,1.56986,0.000135149,0.000135149,0.000135149
9,22.1075,5.07576,3.58045,1.48265,0,0,0,0,5.40821,3.65069,1.56986,0.000153664,0.000153664,0.000153664
10,24.5527,5.24697,3.55741,1.51063,0,0,0,0,4.37637,3.60342,1.15357,0.000171981,0.000171981,0.000171981
11,27.2526,4.86244,3.59152,1.24073,0,0,0,0,4.37637,3.60342,1.15357,0.0001901,0.0001901,0.0001901
12,28.6599,4.66752,3.43376,1.326,0,0,0,0,3.7598,3.57878,1.01091,0.000208021,0.000208021,0.000208021
13,29.9824,4.50232,3.31186,1.20131,0,0,0,0,3.7598,3.57878,1.01091,0.000225744,0.000225744,0.000225744
14,31.3187,4.09628,3.27018,1.19366,0,0,0,0,5.07892,3.62782,1.09462,0.000243269,0.000243269,0.000243269
15,32.5576,3.95872,3.15175,1.14127,0,0,0,0,5.07892,3.62782,1.09462,0.000260596,0.000260596,0.000260596
16,35.6929,4.26315,3.15954,1.09556,0,0,0,0,5.76473,3.68372,1.16948,0.000277725,0.000277725,0.000277725
17,37.4189,4.10519,2.93494,1.0786,0,0,0,0,5.76473,3.68372,1.16948,0.000294656,0.000294656,0.000294656
18,39.3415,4.07795,2.98266,1.04175,0,0,0,0,5.88308,3.59224,1.17066,0.000311389,0.000311389,0.000311389
19,40.7633,4.09818,2.69332,1.01891,0,0,0,0,5.88308,3.59224,1.17066,0.000327924,0.000327924,0.000327924
20,42.1687,3.66264,2.75765,1.05566,0,0,0,0,5.3441,3.37455,1.07655,0.000344261,0.000344261,0.000344261
21,44.2738,3.78305,2.58121,1.01189,0,0,0,0,5.3441,3.37455,1.07655,0.0003604,0.0003604,0.0003604
22,45.8341,3.75427,2.57706,1.00622,0,0,0,0,4.49779,3.18983,0.98689,0.000376341,0.000376341,0.000376341
23,47.6558,3.54989,2.45936,1.0492,0,0,0,0,4.49779,3.18983,0.98689,0.000392084,0.000392084,0.000392084
24,48.9403,3.56728,2.52822,1.08058,0,0,0,0,4.49779,3.18983,0.98689,0.000407629,0.000407629,0.000407629
25,50.9328,3.7199,2.51006,1.08358,0.15333,0.25275,0.11721,0.02816,3.4618,2.97711,0.89735,0.000422976,0.000422976,0.000422976
26,52.7154,4.02929,2.2621,0.98286,0.15333,0.25275,0.11721,0.02816,3.4618,2.97711,0.89735,0.000438125,0.000438125,0.000438125
27,54.8259,3.73064,2.21773,0.99012,0.15333,0.25275,0.11721,0.02816,3.4618,2.97711,0.89735,0.000453076,0.000453076,0.000453076
28,56.7832,3.28761,2.29255,0.99897,0.26667,0.43956,0.21406,0.06249,3.15094,2.7569,0.88103,0.000467829,0.000467829,0.000467829
29,58.133,3.01011,1.9885,0.95978,0.26667,0.43956,0.21406,0.06249,3.15094,2.7569,0.88103,0.000482384,0.000482384,0.000482384
30,59.4951,3.03637,1.98112,0.96798,0.26667,0.43956,0.21406,0.06249,3.15094,2.7569,0.88103,0.000496741,0.000496741,0.000496741
31,60.8686,3.00418,1.89226,0.9323,0.30667,0.50549,0.2897,0.08859,3.08512,2.48732,0.88344,0.0005109,0.0005109,0.0005109
32,62.4849,3.26707,1.94694,0.94439,0.30667,0.50549,0.2897,0.08859,3.08512,2.48732,0.88344,0.000524861,0.000524861,0.000524861
33,64.0229,3.06033,1.90409,0.96393,0.30667,0.50549,0.2897,0.08859,3.08512,2.48732,0.88344,0.000538624,0.000538624,0.000538624
34,65.3664,3.11739,1.8054,0.93052,0.28667,0.47253,0.32919,0.09014,3.17048,2.20839,0.89673,0.000552189,0.000552189,0.000552189
35,66.7475,2.98929,1.65384,0.93405,0.28667,0.47253,0.32919,0.09014,3.17048,2.20839,0.89673,0.000565556,0.000565556,0.000565556
36,68.8071,3.07032,1.68545,0.90583,0.28667,0.47253,0.32919,0.09014,3.17048,2.20839,0.89673,0.000578725,0.000578725,0.000578725
37,70.312,2.95825,1.66946,0.92578,0.28667,0.47253,0.32919,0.09014,3.17048,2.20839,0.89673,0.000591696,0.000591696,0.000591696
38,72.2656,3.39592,1.81256,0.9202,0.32667,0.53846,0.4223,0.10943,3.07917,1.91167,0.8956,0.000604469,0.000604469,0.000604469
39,73.591,3.17595,1.5929,0.89835,0.32667,0.53846,0.4223,0.10943,3.07917,1.91167,0.8956,0.000617044,0.000617044,0.000617044
40,75.5191,3.04233,1.69922,0.92405,0.32667,0.53846,0.4223,0.10943,3.07917,1.91167,0.8956,0.000629421,0.000629421,0.000629421
41,76.887,2.75899,1.52562,0.90805,0.32667,0.53846,0.4223,0.10943,3.07917,1.91167,0.8956,0.0006416,0.0006416,0.0006416
42,78.3328,3.12049,1.66968,0.90496,0.36667,0.6044,0.45607,0.13115,2.97629,1.67078,0.89356,0.000653581,0.000653581,0.000653581
43,80.6859,3.39085,1.85084,0.88834,0.36667,0.6044,0.45607,0.13115,2.97629,1.67078,0.89356,0.000665364,0.000665364,0.000665364
44,83.2867,3.26858,1.62317,0.89683,0.36667,0.6044,0.45607,0.13115,2.97629,1.67078,0.89356,0.000676949,0.000676949,0.000676949
45,84.9188,2.81927,1.46224,0.90266,0.36667,0.6044,0.45607,0.13115,2.97629,1.67078,0.89356,0.000688336,0.000688336,0.000688336
46,87.6805,3.99215,1.91388,0.92576,0.57552,0.50657,0.46116,0.13089,2.94635,1.46371,0.8878,0.000699525,0.000699525,0.000699525
47,90.4007,3.15411,1.51633,0.88844,0.57552,0.50657,0.46116,0.13089,2.94635,1.46371,0.8878,0.000710516,0.000710516,0.000710516
48,91.7905,2.68452,1.38405,0.87627,0.57552,0.50657,0.46116,0.13089,2.94635,1.46371,0.8878,0.000721309,0.000721309,0.000721309
49,93.5094,3.12222,1.6773,0.90436,0.57552,0.50657,0.46116,0.13089,2.94635,1.46371,0.8878,0.000731904,0.000731904,0.000731904
50,94.8407,2.59902,1.40492,0.89465,0.58568,0.52198,0.48269,0.15085,2.84106,1.34248,0.87331,0.000742301,0.000742301,0.000742301
51,97.8547,3.14497,1.54061,0.87754,0.58568,0.52198,0.48269,0.15085,2.84106,1.34248,0.87331,0.0007525,0.0007525,0.0007525
52,99.6624,2.67156,1.44274,0.89591,0.58568,0.52198,0.48269,0.15085,2.84106,1.34248,0.87331,0.000762501,0.000762501,0.000762501
53,100.971,2.64414,1.42482,0.89162,0.58568,0.52198,0.48269,0.15085,2.84106,1.34248,0.87331,0.000772304,0.000772304,0.000772304
54,102.586,2.69727,1.3888,0.88683,0.58568,0.52198,0.48269,0.15085,2.84106,1.34248,0.87331,0.000781909,0.000781909,0.000781909
55,104.398,2.85655,1.66844,0.85423,0.61154,0.57143,0.54679,0.16463,2.75198,1.27382,0.86266,0.000791316,0.000791316,0.000791316
56,106.394,2.55676,1.2879,0.86524,0.61154,0.57143,0.54679,0.16463,2.75198,1.27382,0.86266,0.000800525,0.000800525,0.000800525
57,110.346,2.92395,1.41792,0.87683,0.61154,0.57143,0.54679,0.16463,2.75198,1.27382,0.86266,0.000809536,0.000809536,0.000809536
58,114.578,3.5111,1.60153,0.88936,0.61154,0.57143,0.54679,0.16463,2.75198,1.27382,0.86266,0.000818349,0.000818349,0.000818349
59,115.919,3.45771,1.64724,0.89958,0.61154,0.57143,0.54679,0.16463,2.75198,1.27382,0.86266,0.000826964,0.000826964,0.000826964
60,117.45,3.18849,1.51057,0.88725,0.56692,0.57692,0.52035,0.16173,2.71631,1.21185,0.85157,0.000835381,0.000835381,0.000835381
61,118.627,2.73443,1.29273,0.90045,0.56692,0.57692,0.52035,0.16173,2.71631,1.21185,0.85157,0.0008436,0.0008436,0.0008436
62,119.984,2.66673,1.34786,0.8742,0.56692,0.57692,0.52035,0.16173,2.71631,1.21185,0.85157,0.000851621,0.000851621,0.000851621
63,121.743,2.72585,1.39399,0.85377,0.56692,0.57692,0.52035,0.16173,2.71631,1.21185,0.85157,0.000859444,0.000859444,0.000859444
64,123.141,2.81916,1.36841,0.8677,0.56692,0.57692,0.52035,0.16173,2.71631,1.21185,0.85157,0.000867069,0.000867069,0.000867069
65,124.604,2.83037,1.40932,0.9023,0.55994,0.59426,0.5749,0.19004,2.61642,1.17666,0.84549,0.000874496,0.000874496,0.000874496
66,126.445,2.98574,1.48781,0.87215,0.55994,0.59426,0.5749,0.19004,2.61642,1.17666,0.84549,0.000881725,0.000881725,0.000881725
67,127.723,2.59917,1.28007,0.88041,0.55994,0.59426,0.5749,0.19004,2.61642,1.17666,0.84549,0.000888756,0.000888756,0.000888756
68,128.838,2.73603,1.35884,0.91279,0.55994,0.59426,0.5749,0.19004,2.61642,1.17666,0.84549,0.000895589,0.000895589,0.000895589
69,130.82,3.03305,1.4553,0.89445,0.55994,0.59426,0.5749,0.19004,2.61642,1.17666,0.84549,0.000902224,0.000902224,0.000902224
70,132.185,2.82496,1.36931,0.87754,0.55994,0.59426,0.5749,0.19004,2.61642,1.17666,0.84549,0.000908661,0.000908661,0.000908661
71,134.271,3.07979,1.47875,0.88795,0.60189,0.58242,0.59758,0.20519,2.68744,1.23825,0.8553,0.0009149,0.0009149,0.0009149
72,136.697,2.82809,1.38835,0.86412,0.60189,0.58242,0.59758,0.20519,2.68744,1.23825,0.8553,0.000920941,0.000920941,0.000920941
73,138.534,3.18505,1.50124,0.85524,0.60189,0.58242,0.59758,0.20519,2.68744,1.23825,0.8553,0.000926784,0.000926784,0.000926784
74,140.05,2.99664,1.40821,0.85944,0.60189,0.58242,0.59758,0.20519,2.68744,1.23825,0.8553,0.000932429,0.000932429,0.000932429
75,141.379,2.60793,1.28349,0.90079,0.60189,0.58242,0.59758,0.20519,2.68744,1.23825,0.8553,0.000937876,0.000937876,0.000937876
76,143.231,2.72068,1.2885,0.85592,0.60189,0.58242,0.59758,0.20519,2.68744,1.23825,0.8553,0.000943125,0.000943125,0.000943125
77,144.888,2.65933,1.31075,0.86596,0.63917,0.6044,0.62426,0.20379,2.74097,1.34144,0.86038,0.000948176,0.000948176,0.000948176
78,146.351,2.78581,1.37492,0.90189,0.63917,0.6044,0.62426,0.20379,2.74097,1.34144,0.86038,0.000953029,0.000953029,0.000953029
79,147.532,2.60555,1.3444,0.89526,0.63917,0.6044,0.62426,0.20379,2.74097,1.34144,0.86038,0.000957684,0.000957684,0.000957684
80,148.731,2.55019,1.25694,0.8846,0.63917,0.6044,0.62426,0.20379,2.74097,1.34144,0.86038,0.000962141,0.000962141,0.000962141
81,149.96,2.66354,1.33585,0.90513,0.63917,0.6044,0.62426,0.20379,2.74097,1.34144,0.86038,0.0009664,0.0009664,0.0009664
82,151.664,2.98401,1.34775,0.874,0.63917,0.6044,0.62426,0.20379,2.74097,1.34144,0.86038,0.000970461,0.000970461,0.000970461
83,153.218,3.12513,1.45665,0.87562,0.63917,0.6044,0.62426,0.20379,2.74097,1.34144,0.86038,0.000974324,0.000974324,0.000974324
84,154.731,3.1083,1.41495,0.87095,0.66326,0.6385,0.66367,0.23019,2.58782,1.30489,0.84834,0.000977989,0.000977989,0.000977989
85,156.079,3.00127,1.29964,0.87366,0.66326,0.6385,0.66367,0.23019,2.58782,1.30489,0.84834,0.000981456,0.000981456,0.000981456
86,157.27,2.49153,1.22311,0.85515,0.66326,0.6385,0.66367,0.23019,2.58782,1.30489,0.84834,0.000984725,0.000984725,0.000984725
87,159.036,2.92661,1.3558,0.87188,0.66326,0.6385,0.66367,0.23019,2.58782,1.30489,0.84834,0.000987796,0.000987796,0.000987796
88,160.33,2.71822,1.33005,0.8944,0.66326,0.6385,0.66367,0.23019,2.58782,1.30489,0.84834,0.000990669,0.000990669,0.000990669
89,161.8,2.88411,1.33545,0.86305,0.66326,0.6385,0.66367,0.23019,2.58782,1.30489,0.84834,0.000993344,0.000993344,0.000993344
90,163.597,2.65477,1.35914,0.86271,0.66326,0.6385,0.66367,0.23019,2.58782,1.30489,0.84834,0.000995821,0.000995821,0.000995821
91,164.853,2.46681,1.1764,0.85451,0.64857,0.64898,0.65811,0.22561,2.63235,1.34593,0.84803,0.0009981,0.0009981,0.0009981
92,166.595,3.01391,1.47937,0.84728,0.64857,0.64898,0.65811,0.22561,2.63235,1.34593,0.84803,0.00100018,0.00100018,0.00100018
93,168.287,2.78316,1.35225,0.88423,0.64857,0.64898,0.65811,0.22561,2.63235,1.34593,0.84803,0.00100206,0.00100206,0.00100206
94,170.037,2.69184,1.31719,0.84726,0.64857,0.64898,0.65811,0.22561,2.63235,1.34593,0.84803,0.00100375,0.00100375,0.00100375
95,171.209,2.64352,1.20718,0.85435,0.64857,0.64898,0.65811,0.22561,2.63235,1.34593,0.84803,0.00100524,0.00100524,0.00100524
96,172.853,2.78642,1.2743,0.86047,0.64857,0.64898,0.65811,0.22561,2.63235,1.34593,0.84803,0.00100653,0.00100653,0.00100653
97,174.425,2.53345,1.24908,0.85564,0.64857,0.64898,0.65811,0.22561,2.63235,1.34593,0.84803,0.00100762,0.00100762,0.00100762
98,175.785,2.8131,1.35306,0.85515,0.64857,0.64898,0.65811,0.22561,2.63235,1.34593,0.84803,0.00100851,0.00100851,0.00100851
99,176.999,2.61955,1.3148,0.88776,0.67732,0.61126,0.67153,0.21847,2.66865,1.36232,0.85137,0.0010092,0.0010092,0.0010092
100,178.365,2.68887,1.27743,0.8563,0.67732,0.61126,0.67153,0.21847,2.66865,1.36232,0.85137,0.0010097,0.0010097,0.0010097
